tmvcodigo;tmvdescricao;tmvatualiza
5311;"REB/INCOMARCA                                     ";"N"
5312;"REB/INCREAL                                       ";"N"
5313;"REB/INOMATA                                       ";"N"
5314;"REB/INTERMOBAL                                    ";"N"
5315;"REB/IOWA MFG                                      ";"N"
5316;"REB/ITAIPU                                        ";"N"
5317;"REB/ITALSUISS                                     ";"N"
5318;"REB/ITATIAIA                                      ";"N"
5319;"REB/ITP                                           ";"N"
532;"JTA/SUZUKI DR350SE                                ";"N"
5320;"REB/JACTO                                         ";"N"
5321;"REB/JAEGER                                        ";"N"
5322;"REB/JAKDB THALER                                  ";"N"
5323;"REB/JAMANTA                                       ";"N"
5324;"REB/JANAINA                                       ";"N"
5325;"REB/JES                                           ";"N"
5326;"REB/JNB                                           ";"N"
5327;"REB/JOFEIR                                        ";"N"
5328;"REB/JOIA                                          ";"N"
5329;"REB/JULIETA                                       ";"N"
533;"IMP/MONARK                                        ";"N"
5330;"REB/JUPER                                         ";"N"
5331;"REB/KARMANN C.KC 270                              ";"N"
5332;"REB/KARMANN C.KC 330                              ";"N"
5333;"REB/KARMANN C.KC 380                              ";"N"
5334;"REB/KARMANN C.KC 450                              ";"N"
5335;"REB/KARMANN C.KC 520                              ";"N"
5336;"REB/KARMANN C.KC 640                              ";"N"
5337;"REB/KARMANN C.KC 740                              ";"N"
5338;"REB/KARMANN C.KCC 330                             ";"N"
5339;"REB/KARMANN C.KCC 450                             ";"N"
534;"IMP/PEUGEOT ******                                ";"N"
5340;"REB/KARMANN C.KCC 520                             ";"N"
5341;"REB/KARMANN C. RE-350CM                           ";"N"
5342;"REB/KARMANN C. RE-600CM                           ";"N"
5343;"REB/KARMANN C. RE-550                             ";"N"
5344;"REB/KARMANN CARAVAN                               ";"N"
5345;"REB/KARMANN-GHIA RE-280                           ";"N"
5346;"REB/KARMANN-GHIA RE-500                           ";"N"
5347;"REB/KARMANN_GHIA RM304AT                          ";"N"
5348;"REB/KARMANN-GHIA RM311TL                          ";"N"
5349;"REB/KARMANN-GHIA RE700                            ";"N"
535;"IMP/PEUGEOT ****                                  ";"N"
5350;"REB/KARMANN GHIA                                  ";"N"
5351;"REB/KARRIGO                                       ";"N"
5352;"REB/KIBRAS                                        ";"N"
5353;"REB/KIMURA                                        ";"N"
5354;"REB/KRONE BA092 20                                ";"N"
5355;"REB/KRONE BA093 30                                ";"N"
5356;"REB/KRONE BF123 27F                               ";"N"
5357;"REB/KRONE BF143 27R                               ";"N"
5358;"REB/KRONE BF143 27                                ";"N"
5359;"REB/KRONE CA082 RQCG1E1E                          ";"N"
536;"IMP/PEUGEOT *****                                 ";"N"
5360;"REB/KRONE CA082 RQTT1E1E                          ";"N"
5361;"REB/KRONE CA083 RQTT1E2E                          ";"N"
5362;"REB/KRONE CA122 CS22                              ";"N"
5363;"REB/KRONE CA123 CG27                              ";"N"
5364;"REB/KRONE CA123 CS27                              ";"N"
5365;"REB/KRONE CA133 TT30                              ";"N"
5366;"REB/KRONE CA142 CS22R                             ";"N"
5367;"REB/KRONE CC082 22                                ";"N"
5368;"REB/KRONE CC083 27                                ";"N"
5369;"REB/KRONE CC122 22                                ";"N"
537;"IMP/PEUGEOT ******                                ";"N"
5370;"REB/KRONE CC123 27                                ";"N"
5371;"REB/KRONE PR142 30R280                            ";"N"
5372;"REB/KRONE PR143 45280                             ";"N"
5373;"REB/KRONE PR163 45R280                            ";"N"
5374;"REB/KRONE TQ123 27BT                              ";"N"
5375;"REB/KRONE TQ123 30                                ";"N"
5376;"REB/KRONE TQ123 35                                ";"N"
5377;"REB/KRONE TQ123 32                                ";"N"
5378;"REB/KRONE CA102 TC24                              ";"N"
5379;"REB/KRONE                                         ";"N"
538;"IMP/PEUGEOT ****                                  ";"N"
5380;"REB/KUBITZ                                        ";"N"
5381;"REB/KUME SR-BD3K                                  ";"N"
5382;"REB/KUME SR-BD2K                                  ";"N"
5383;"REB/KUME SR-CS3K                                  ";"N"
5384;"REB/KUME SR-CS2K                                  ";"N"
5385;"REB/KUME SR-PT3K                                  ";"N"
5386;"REB/KUME SR-PT2K                                  ";"N"
5387;"REB/KUME SR-GR3K                                  ";"N"
5388;"REB/KUME SR-GR2K                                  ";"N"
5389;"REB/KUME                                          ";"N"
539;"IMP/PEUGEOT BUXY                                  ";"N"
5390;"REB/LACS                                          ";"N"
5391;"REB/LANDULFO                                      ";"N"
5392;"REB/LARES                                         ";"N"
5393;"REB/LENZ                                          ";"N"
5394;"REB/LEVEFORT SR 19                                ";"N"
5395;"REB/LEVEFORT SR 510                               ";"N"
5396;"REB/LEVEFORT                                      ";"N"
5397;"REB/LIESS                                         ";"N"
5398;"REB/LONDRINENSE                                   ";"N"
5399;"REB/LOTUS                                         ";"N"
54;"HONDA/150                                         ";"N"
540;"IMP/PEUGEOT SPEEDAKE                              ";"N"
5400;"REB/LUMIFLEX                                      ";"N"
5401;"REB/M.R.L.                                        ";"N"
5402;"REB/M.W.M.                                        ";"N"
5403;"REB/MABEL                                         ";"N"
5404;"REB/MACIFE                                        ";"N"
5405;"REB/MADEIRO                                       ";"N"
5406;"REB/MAFRO                                         ";"N"
5407;"REB/MALCI                                         ";"N"
5408;"REB/MANABU                                        ";"N"
5409;"REB/MARAJO                                        ";"N"
541;"IMP/PEUGEOT ZENITH                                ";"N"
5410;"REB/MARCATONI                                     ";"N"
5411;"REB/MARCOFRIGO                                    ";"N"
5412;"REB/MARGOTTI                                      ";"N"
5413;"REB/MARINGA BOX                                   ";"N"
5414;"REB/MARINI                                        ";"N"
5415;"REB/MARITIMA                                      ";"N"
5416;"REB/MAROSO                                        ";"N"
5417;"REB/MARRECO B500                                  ";"N"
5418;"REB/MARRECO B600                                  ";"N"
5419;"REB/MARRECO M201                                  ";"N"
542;"IMP/PEUGEOT SQUAB                                 ";"N"
5420;"REB/MARRECO                                       ";"N"
5421;"REB/MARSOL                                        ";"N"
5422;"REB/MARTINATO                                     ";"N"
5423;"REB/MARVEL                                        ";"N"
5424;"REB/MASSAI                                        ";"N"
5425;"REB/MASSARI SRTCI                                 ";"N"
5426;"REB/MASSARI SRTOC                                 ";"N"
5427;"REB/MASSARI SRTAF                                 ";"N"
5428;"REB/MASSARI SRTPQ                                 ";"N"
5429;"REB/MASSARI SRTNF                                 ";"N"
543;"IMP/PEUGEOT SPEEDFIGHT                            ";"N"
5430;"REB/MASSARI SRTAS                                 ";"N"
5431;"REB/MASSARI SREAG                                 ";"N"
5432;"REB/MASSARI SRTAN                                 ";"N"
5433;"REB/MASSARI SRTLE                                 ";"N"
5434;"REB/MASSARI SRTSC                                 ";"N"
5435;"REB/MASSARI SRTAM                                 ";"N"
5436;"REB/MASSARI SRCT                                  ";"N"
5437;"REB/MASSARI SRFF                                  ";"N"
5438;"REB/MASSARI SRFCS                                 ";"N"
5439;"REB/MASSARI SRCBN                                 ";"N"
544;"IMP/PEUGEOT FIGHT 100                             ";"N"
5440;"REB/MASSARI SRCSC                                 ";"N"
5441;"REB/MASSARI SREVE                                 ";"N"
5442;"REB/MASSARI SRCS                                  ";"N"
5443;"REB/MASSARI SRCC                                  ";"N"
5444;"REB/MASSARI SRELA                                 ";"N"
5445;"REB/MASSARI RCSC                                  ";"N"
5446;"REB/MASSARI RCS                                   ";"N"
5447;"REB/MASSARI REBA                                  ";"N"
5448;"REB/MASSARI                                       ";"N"
5449;"REB/MEBOL                                         ";"N"
545;"IMP/PEUGEOT SCOOTELEC                             ";"N"
5450;"REB/MESBLA                                        ";"N"
